RfLIL0wm0mFmfKYoU/3JRrFXuNM,1,13.88489,100.40980,2024-05-31 23:55:55,0,96,0,0
rVaYbXEwjNCz1cRd6NXojXTTQwg,1,14.05004,100.61698,2024-05-31 23:56:25,59,182,0,1
kB++j4En9ZH5kkiXrWr7k2p7VaU,1,13.75116,100.44187,2024-05-31 23:56:25,0,274,0,0
KnScXtbvQ0lRj/04+wQ3fO0qtMA,1,13.87093,100.48262,2024-05-31 23:57:15,98,92,1,1
+c1pmA68K6XStwhTtQtt460tskQ,1,13.74068,100.60030,2024-05-31 23:57:16,53,53,1,1
2nVnkFDll0W5SuwEu9ZYLI81MdY,1,13.75254,100.61573,2024-05-31 23:57:22,0,126,0,0
G7GeIrTZn9NGlN03XNzsxkvf6w8,1,13.75207,100.57099,2024-05-31 23:57:21,52,267,1,1
kAQzeaQGUfDr39+FakRiblzbwqw,1,13.71203,100.40352,2024-05-31 23:57:09,0,348,0,0
Q6WQ28XRBbcLHDIZESsNU3PSrlo,1,13.76108,100.47812,2024-05-31 23:57:32,0,111,0,0
Fwsen5jrBzodxaaeKavJ+9HLvPk,1,13.78802,100.47801,2024-05-31 23:57:31,0,114,0,0
jjXApG9mdrkWqFic93Yc0RCiTE4,1,13.74209,100.68165,2024-05-31 23:57:32,0,21,0,0
tqb5HzdoedOetjtmZICwPL1QFLA,1,13.95599,100.49147,2024-05-31 23:57:33,0,246,0,0
W8XurG4UwgrqvYhMjWlESLOZlZI,1,13.75358,100.38035,2024-05-31 23:57:33,0,272,0,0
AHGPsXLrLo+ZhwNb4GUyGMYpo5s,1,13.79184,100.50165,2024-05-31 23:57:32,0,40,0,0
zbXIixuQ0k2hbbdRVG+JXe74vGQ,1,13.96696,100.64649,2024-05-31 23:57:32,0,72,1,0
H7BKxMnKYIjN9qlPsYgfvzLd1/g,1,7.82851,98.30182,2024-05-31 23:57:33,0,61,1,0
CVPxa16s50J3IxIJe2eAQq8b54U,1,13.70794,100.53888,2024-05-31 23:55:35,0,47,0,0
P7+xATGoD+/+5ySctmkJVVcFST8,1,13.88032,100.53933,2024-05-31 23:57:34,0,199,0,0
4xQfRXLB5W8GZ+XpjGVdgrfBuNU,1,13.87357,100.40130,2024-05-31 23:57:33,0,10,0,0
y4T93ZMusim6eCNfcMjOLrm1yVk,1,13.68267,100.46182,2024-05-31 23:57:34,0,73,0,0
r1jnke+pRjpnpvQzSnElcDT5Q8s,1,7.88279,98.39880,2024-05-31 23:57:35,0,104,0,0
mqROJbtO6BHbHAtC4WwvhW6nfYU,1,13.70293,100.76671,2024-05-31 23:57:34,0,165,0,0
HTaltgKJ5Vj4wTVhofLC1MrLQzU,1,13.63935,100.62770,2024-05-31 23:57:35,0,30,0,0
u0pi/I2bmGhdZmR3YS1EszCYoOg,1,13.79591,100.48523,2024-05-31 23:57:34,0,0,0,0
/Hxdhn/WbboS9u0c5xPIOLQ8CB4,1,13.73241,100.70431,2024-05-31 23:57:35,105,276,1,1
DyiNaL6X4qGSoTDgghi+2FFPnx4,1,13.63516,100.74580,2024-05-31 23:57:35,0,186,0,0